,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,1000000.0,33.31510066171346,Heinz2001,Heinz2001,40.0,40.0,20.0,3.8767928959571467,none
1,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,1000000.0,43.31510066171346,Heinz2001,Heinz2001,40.0,40.0,30.0,3.351870540878581,none
2,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,1000000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,40.0,40.0,3.5340084106941316,none
3,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,1000000.0,33.61671705526375,Heinz2001,Heinz2001,40.0,40.0,20.0,4.222828043767645,none
4,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,1000000.0,43.61671705526375,Heinz2001,Heinz2001,40.0,40.0,30.0,3.678209218923197,none
5,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,1000000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,40.0,40.0,3.884952188768504,none
6,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,1000000.0,34.014401565273985,Heinz2001,Heinz2001,40.0,40.0,20.0,4.600686220036273,none
7,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,1000000.0,44.014401565273985,Heinz2001,Heinz2001,40.0,40.0,30.0,4.046964950247026,none
8,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,1000000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,40.0,40.0,4.288526790936626,none
9,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,1000000.0,34.4939876158342,Heinz2001,Heinz2001,40.0,40.0,20.0,4.988373694801547,none
10,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,1000000.0,44.4939876158342,Heinz2001,Heinz2001,40.0,40.0,30.0,4.440354150806521,none
11,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,1000000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,40.0,40.0,4.71479519454944,none
12,[0.],3162.8106403712163,1054.270213457072,RP,[0.001],0.1,0.01,2108.540426914144,1000000.0,34.972581766637475,Heinz2001,Heinz2001,40.0,40.0,20.0,5.433284200739808,none
13,[0.],3162.8106403712163,1054.270213457072,RP,[0.001],0.1,0.01,2108.540426914144,1000000.0,44.972581766637475,Heinz2001,Heinz2001,40.0,40.0,30.0,4.887188895934289,none
14,[0.],3162.8106403712163,1054.270213457072,RP,[0.001],0.1,0.01,2108.540426914144,1000000.0,54.972581766637475,Heinz2001,Heinz2001,40.0,40.0,40.0,5.2054168036360196,none
15,[0.],3495.478777061525,1165.1595923538416,RP,[0.001],0.1,0.01,2330.3191847076832,1000000.0,35.43464390139043,Heinz2001,Heinz2001,40.0,40.0,20.0,5.922159556664662,none
16,[0.],3495.478777061525,1165.1595923538416,RP,[0.001],0.1,0.01,2330.3191847076832,1000000.0,45.43464390139043,Heinz2001,Heinz2001,40.0,40.0,30.0,5.376914290650392,none
17,[0.],3495.478777061525,1165.1595923538416,RP,[0.001],0.1,0.01,2330.3191847076832,1000000.0,55.43464390139043,Heinz2001,Heinz2001,40.0,40.0,40.0,5.743409479988801,none
18,[0.],3863.137338963008,1287.7124463210027,RP,[0.001],0.1,0.01,2575.4248926420055,1000000.0,35.926474117245625,Heinz2001,Heinz2001,40.0,40.0,20.0,6.439302998288486,none
