,API,F0,cf_high,cf_low,comps,decoding_type,delta_theta,dur,dur_ramp,fs,harmonicity,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0005813824816141447,none
1,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006266780183253688,none
2,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006735935688878927,none
3,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0007500793389487166,none
4,[0.],263.567553364268,2899.243087006948,1317.83776682134,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0008545919857205087,none
5,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0010230537449184862,none
6,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,50.08353226943191,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0012490973326284222,none
7,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,48.70087320773526,Zilany2014,Zilany2014,40.0,51.0,40.0,0.001580629053749058,none
8,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,47.243707257190316,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0020828567945563575,none
9,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,[ 6.1  7.1  8.1  9.1 10.1],AI,[0.001],0.1,0.01,200000.0,0.1,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0027968628701212778,none
